820.523412	26.739945	735.964282	949.901268		881.799355	10.375047	635.016531	935.017673		24.143810	0.026096	24.054438	24.285383
1230.481570	2.296519	1198.306900	1295.422000		897.046920	106.501110	781.799500	1248.119500		50.247710	1.132605	45.976400	59.868100
522.983590	0.728554	514.603300	529.184700		547.797350	0.820342	542.317600	554.540800		20.528960	0.005926	20.194400	21.027100
384.575900	0.456728	381.313500	389.856600		548.524260	0.717065	540.939500	557.558800		21.025120	0.028549	20.288500	23.796900
218.524190	0.875347	214.271300	236.866200		549.211790	0.328146	544.702200	555.084800		20.514090	0.025807	20.278900	20.929900
73.323360	0.009626	72.807000	73.961200		547.828430	1.468824	542.605600	554.907900		20.591330	0.391575	20.039800	21.829600
78.705590	0.003671	77.009100	79.740400		545.100750	3.300643	539.346900	555.538300		20.710980	0.078228	20.285900	21.924000
81.694040	0.559451	79.924900	91.022700		548.131130	0.525435	540.541500	562.407200		20.508890	0.034529	20.092000	21.260700
78.867030	0.008086	77.133400	79.485200		546.991500	1.265006	540.099400	552.163200		20.689260	0.033666	20.209700	21.949500
46.741200	0.026152	46.525200	47.107800		548.568910	0.178349	543.957500	551.931300		20.589520	0.019739	20.191800	21.596800
46.558890	0.057082	46.285200	47.147400		549.567310	0.075265	544.700800	554.370900		21.050940	0.059906	20.230500	24.074700
42.052580	0.083889	41.712000	42.369100		547.498340	0.476473	543.553800	550.741900		20.388650	0.012665	20.164900	20.604700
42.031260	0.055327	41.808900	42.426900		546.252950	1.000402	543.630600	549.416500		20.596900	0.036208	20.226700	21.440400
41.085550	0.019242	40.834800	41.430600		547.703120	1.353208	543.423900	552.292100		20.569560	0.016456	20.157700	21.355300
41.022370	0.075000	40.735700	41.775700		548.048870	0.130719	544.515300	553.421700		20.602140	0.106398	20.214800	21.067400
40.133810	0.319804	39.122500	40.501100		531.620750	1.579004	526.627500	535.722800		20.130810	0.012115	19.878100	20.282700
40.607890	0.044427	40.438700	41.149400		532.378860	0.150923	526.914000	537.339200		20.095190	0.030013	19.891100	20.423300
40.558610	0.045597	40.445700	40.813500		534.207090	0.059612	528.846600	538.672600		20.320780	0.031869	19.925400	21.534900
52.814090	0.075006	52.576900	53.280400		547.780360	0.446874	542.147800	551.746600		20.500770	0.399468	20.229100	21.764000
41.448310	0.162576	40.806700	43.221500		550.712620	1.348686	544.980400	570.395600		20.594940	0.074579	20.288600	21.153300
23.592640	0.228999	23.294800	24.316800		533.979690	0.222716	523.731000	553.640700		20.205620	0.079601	19.953900	20.786700
23.563850	0.075120	23.326300	23.853100		533.565940	0.271273	530.003300	537.849400		21.496310	0.499327	19.917300	33.450500
23.572170	0.023410	23.226800	24.321000		530.336490	0.250803	520.443100	535.504300		20.220060	0.052671	19.969700	20.563400
23.604540	0.007735	23.361100	24.023100		533.876460	0.294142	526.751800	553.998000		20.075080	0.017671	19.912200	20.300400
